OMIM.ID	UMLS.ID
OMIM:236670	C0265221
OMIM:236680	C2931104
OMIM:236700	C0948368
OMIM:236730	C0403555
OMIM:236792	C1855995
OMIM:236800	C0268474
OMIM:237300	C0751753
OMIM:237310	C0268543
OMIM:237450	C0220991
OMIM:237500	C0022350
OMIM:237900	C0270210
OMIM:238320	C0860158
OMIM:238600	C0023817
OMIM:238700	C0268553
OMIM:238970	C0268540
OMIM:239000	C0268414
OMIM:239100	C0432272
OMIM:239200	C1832615
OMIM:239300	C1855923
OMIM:239500	C0268529
OMIM:239510	C2931835
OMIM:239850	C0795905
OMIM:240300	C3494489
OMIM:240600	C1855861
OMIM:241080	C0342286
OMIM:241410	C1855840
OMIM:241500	C0020630
OMIM:241500	C2673477
OMIM:241500	C0268412
OMIM:241510	C0220743
OMIM:241530	C1853271
OMIM:241550	C0152101
OMIM:241850	C1855794
OMIM:242100	C0079154
OMIM:242300	C1855789
OMIM:242500	C0239849
OMIM:242600	C0268654
OMIM:242840	C1855772
OMIM:242900	C0877024
OMIM:243000	C0270914
OMIM:243000	C0002768
OMIM:243060	C0403812
OMIM:243150	C0220744
OMIM:243300	C0149841
OMIM:243300	C1855731
OMIM:243310	C1855722
OMIM:243500	C0268575
OMIM:243800	C0175692
OMIM:244400	C0022521
OMIM:244450	C1855663
OMIM:244460	C0265291
OMIM:244460	C1855648
OMIM:245000	C0030360
OMIM:245010	C1855627
OMIM:245050	C0342792
OMIM:245150	C1855607
OMIM:245200	C0023521
OMIM:245340	C1855577
OMIM:245348	C1855565
OMIM:245349	C1855553
OMIM:245570	C0282512
OMIM:245660	C1328355
OMIM:245800	C0023138
OMIM:246200	C0265344
OMIM:246450	C1533587
OMIM:246700	C0795956
OMIM:247100	C0023795
OMIM:248190	C2931121
OMIM:248200	C0271093
OMIM:248300	C0025221
OMIM:248340	C0796032
OMIM:248360	C0342793
OMIM:248450	C1855425
OMIM:248500	C0024748
OMIM:248510	C0342849
OMIM:248600	C0024776
OMIM:248600	C1621920
OMIM:248600	C0268568
OMIM:248600	C0751285
OMIM:248600	C0268569
OMIM:248700	C0796033
OMIM:248800	C0024814
OMIM:248900	C1855346
OMIM:249000	C0265215
OMIM:249100	C0031069
OMIM:249270	C0342287
OMIM:249400	C0544862
OMIM:249420	C1855305
OMIM:250100	C0023522
OMIM:250220	C1855229
OMIM:250250	C0220748
OMIM:250400	C0432225
OMIM:250410	C1855188
OMIM:250460	C1834821
OMIM:250620	C0342738
OMIM:250800	C0272087
OMIM:250850	C0268621
OMIM:250940	C1855128
OMIM:250950	C0342727
OMIM:251000	C1855114
OMIM:251120	C1855100
OMIM:251200	C3711387
OMIM:251255	C0796063
OMIM:251260	C0398791
OMIM:251270	C3502492
OMIM:251290	C2931662
OMIM:251300	C0795949
OMIM:251450	C0432242
OMIM:251850	C0341306
OMIM:251950	C1855033
OMIM:252010	C2936907
OMIM:252011	C1855008
OMIM:252150	C1854988
OMIM:252160	C1854989
OMIM:252500	C0020725
OMIM:252600	C0033788
OMIM:252605	C1854896
OMIM:252650	C0238286
OMIM:252900	C0026706
OMIM:252900	C0086647
OMIM:252920	C0086648
OMIM:252930	C0086649
OMIM:252940	C0086650
OMIM:253000	C0026707
OMIM:253000	C0086651
OMIM:253010	C0086652
OMIM:253200	C0026709
OMIM:253220	C0085132
OMIM:253250	C0524582
OMIM:253260	C0220754
OMIM:253270	C0268581
OMIM:253290	C1854678
OMIM:253300	C0043116
OMIM:253310	C1854664
OMIM:253400	C0152109
OMIM:253550	C2931358
OMIM:253600	C1869123
OMIM:253601	C1850889
OMIM:253700	C0410173
OMIM:253800	C0410174
OMIM:254090	C0410179
OMIM:254110	C0270968
OMIM:254130	C1850808
OMIM:254210	C0751884
OMIM:254450	C0026987
OMIM:254600	C0398595
OMIM:254780	C0751783
OMIM:254800	C0751785
OMIM:254900	C0751779
OMIM:255110	C0342790
OMIM:255110	C1833508
OMIM:255120	C1829703
OMIM:255125	C1850718
OMIM:255310	C0546264
OMIM:255320	C1850674
OMIM:255600	C1611706
OMIM:255800	C0036391
OMIM:255960	C1850635
OMIM:255995	C1850625
OMIM:256000	C0023264
OMIM:256000	C2931092
OMIM:256040	C1850568
OMIM:256050	C0432203
OMIM:256100	C0687120
OMIM:256300	C0403399
OMIM:256500	C0265962
OMIM:256520	C0265218
OMIM:256540	C0268233
OMIM:256550	C0023806
OMIM:256550	C3888317
OMIM:256600	C0270724
OMIM:256700	C0027819
OMIM:256730	C1850451
OMIM:256730	C0268281
OMIM:256731	C1850442
OMIM:256800	C0020074
OMIM:256810	C1850406
OMIM:256840	C1850395
OMIM:257200	C0268242
OMIM:257220	C0220756
OMIM:257300	C1850343
OMIM:257320	C0796089
OMIM:257920	C0796059
OMIM:257980	C1275074
OMIM:258100	C1306122
OMIM:258315	C1850318
OMIM:258480	C0432219
OMIM:258501	C0574084
OMIM:258860	C0406727
OMIM:258870	C0599035
OMIM:258900	C0268130
OMIM:259050	C0796121
OMIM:259100	C2930922
OMIM:259420	C0268362
OMIM:259450	C0432253
OMIM:259500	C0029463
OMIM:259600	C1850155
OMIM:259700	C1318518
OMIM:259730	C1849435
OMIM:259770	C0432252
OMIM:259775	C1850106
OMIM:259900	C0020500
OMIM:259900	C0268164
OMIM:260000	C0268165
OMIM:260005	C0268525
OMIM:260300	C1850100
OMIM:260350	C2931038
OMIM:260370	C1850096
OMIM:260400	C0272170
OMIM:260500	C0431109
OMIM:260500	C0205770
OMIM:260540	C1850077
OMIM:260565	C1850055
OMIM:260565	C1850056
OMIM:260660	C1850040
OMIM:260920	C0398691
OMIM:261000	C0340957
OMIM:261100	C1306856
OMIM:261515	C0342870
OMIM:261540	C0796012
OMIM:261550	C1849930
OMIM:261600	C0031485
OMIM:261600	C0085547
OMIM:261630	C0268465
OMIM:261630	C0751436
OMIM:261640	C0878676
OMIM:261650	C0268194
OMIM:261670	C0268149
OMIM:261740	C1849813
OMIM:261750	C0543514
OMIM:262000	C0266006
OMIM:262190	C0271695
OMIM:262500	C0271568
OMIM:262650	C1849779
OMIM:262890	C0796149
OMIM:263200	C0085548
OMIM:263300	C0032463
OMIM:263520	C0024507
OMIM:263570	C1849722
OMIM:263650	C1849718
OMIM:263750	C0265257
OMIM:263800	C0268450
OMIM:264070	C1849700
OMIM:264300	C0268296
OMIM:264350	C1449843
OMIM:264470	C1849678
OMIM:264600	C0268297
OMIM:264700	C0268689
OMIM:264800	C0033847
OMIM:265050	C0796279
